"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 11 10:15:56 GMT 2025","Tue Mar 11 10:16:07 GMT 2025","10810","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"passed","Tue Mar 11 10:15:51 GMT 2025","Tue Mar 11 10:15:56 GMT 2025","5229","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Tue Mar 11 10:15:25 GMT 2025","Tue Mar 11 10:15:32 GMT 2025","7152","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Tue Mar 11 10:15:32 GMT 2025","Tue Mar 11 10:15:45 GMT 2025","12176","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Tue Mar 11 10:15:45 GMT 2025","Tue Mar 11 10:15:51 GMT 2025","6188","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
"passed","Tue Mar 11 10:15:16 GMT 2025","Tue Mar 11 10:15:25 GMT 2025","9373","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Tue Mar 11 10:14:33 GMT 2025","Tue Mar 11 10:14:34 GMT 2025","950","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
"passed","Tue Mar 11 10:14:39 GMT 2025","Tue Mar 11 10:15:16 GMT 2025","36860","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
