"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 11 10:48:30 GMT 2025","Tue Mar 11 10:48:38 GMT 2025","8235","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Tue Mar 11 10:47:54 GMT 2025","Tue Mar 11 10:48:30 GMT 2025","36355","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"passed","Tue Mar 11 10:48:44 GMT 2025","Tue Mar 11 10:48:53 GMT 2025","9179","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Tue Mar 11 10:48:38 GMT 2025","Tue Mar 11 10:48:44 GMT 2025","5779","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Tue Mar 11 10:49:06 GMT 2025","Tue Mar 11 10:49:16 GMT 2025","10126","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"passed","Tue Mar 11 10:48:53 GMT 2025","Tue Mar 11 10:49:00 GMT 2025","7193","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
"passed","Tue Mar 11 10:47:48 GMT 2025","Tue Mar 11 10:47:49 GMT 2025","888","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
"passed","Tue Mar 11 10:49:00 GMT 2025","Tue Mar 11 10:49:06 GMT 2025","5051","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
