"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 13:53:10 GMT 2025","Fri Mar 07 13:53:47 GMT 2025","36956","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"passed","Fri Mar 07 13:53:47 GMT 2025","Fri Mar 07 13:53:57 GMT 2025","9582","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Fri Mar 07 13:54:26 GMT 2025","Fri Mar 07 13:54:37 GMT 2025","10970","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"passed","Fri Mar 07 13:53:57 GMT 2025","Fri Mar 07 13:54:04 GMT 2025","7633","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Fri Mar 07 13:54:21 GMT 2025","Fri Mar 07 13:54:26 GMT 2025","5133","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Fri Mar 07 13:54:04 GMT 2025","Fri Mar 07 13:54:14 GMT 2025","9186","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Fri Mar 07 13:54:14 GMT 2025","Fri Mar 07 13:54:21 GMT 2025","6889","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
"passed","Fri Mar 07 13:53:04 GMT 2025","Fri Mar 07 13:53:05 GMT 2025","963","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
