"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 15:11:36 GMT 2025","Fri Mar 07 15:11:43 GMT 2025","7175","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
"passed","Fri Mar 07 15:11:43 GMT 2025","Fri Mar 07 15:11:49 GMT 2025","5535","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Fri Mar 07 15:10:29 GMT 2025","Fri Mar 07 15:10:30 GMT 2025","917","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
"passed","Fri Mar 07 15:11:27 GMT 2025","Fri Mar 07 15:11:36 GMT 2025","8836","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Fri Mar 07 15:11:20 GMT 2025","Fri Mar 07 15:11:27 GMT 2025","7867","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"failed","Fri Mar 07 15:11:49 GMT 2025","Fri Mar 07 15:11:54 GMT 2025","5382","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"passed","Fri Mar 07 15:10:34 GMT 2025","Fri Mar 07 15:11:11 GMT 2025","36758","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"passed","Fri Mar 07 15:11:11 GMT 2025","Fri Mar 07 15:11:20 GMT 2025","8538","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
