"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 12 07:57:35 GMT 2025","Wed Mar 12 07:57:44 GMT 2025","9313","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Wed Mar 12 07:56:43 GMT 2025","Wed Mar 12 07:56:44 GMT 2025","877","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
"passed","Wed Mar 12 07:57:52 GMT 2025","Wed Mar 12 07:57:57 GMT 2025","4887","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Wed Mar 12 07:57:57 GMT 2025","Wed Mar 12 07:58:07 GMT 2025","10395","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"passed","Wed Mar 12 07:57:29 GMT 2025","Wed Mar 12 07:57:35 GMT 2025","5569","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Wed Mar 12 07:56:48 GMT 2025","Wed Mar 12 07:57:22 GMT 2025","33939","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"passed","Wed Mar 12 07:57:22 GMT 2025","Wed Mar 12 07:57:29 GMT 2025","7008","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Wed Mar 12 07:57:44 GMT 2025","Wed Mar 12 07:57:52 GMT 2025","7701","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
