"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 03 13:24:07 GMT 2025","Mon Mar 03 13:24:55 GMT 2025","47893","","com.jetbrains.teamcity.ui.SetupServerTest","","com.jetbrains.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Mon Mar 03 13:25:58 GMT 2025","Mon Mar 03 13:26:10 GMT 2025","11984","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Mon Mar 03 13:26:20 GMT 2025","Mon Mar 03 13:26:27 GMT 2025","6887","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
"failed","Mon Mar 03 13:26:27 GMT 2025","Mon Mar 03 13:27:02 GMT 2025","35007","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Mon Mar 03 13:25:46 GMT 2025","Mon Mar 03 13:25:58 GMT 2025","12482","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Mon Mar 03 13:27:02 GMT 2025","Mon Mar 03 13:27:08 GMT 2025","6328","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"passed","Mon Mar 03 13:26:10 GMT 2025","Mon Mar 03 13:26:20 GMT 2025","9612","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Mon Mar 03 13:25:00 GMT 2025","Mon Mar 03 13:25:45 GMT 2025","45130","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
