"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 11 09:12:39 GMT 2025","Tue Mar 11 09:12:47 GMT 2025","8522","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Tue Mar 11 09:13:00 GMT 2025","Tue Mar 11 09:13:11 GMT 2025","11241","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"failed","Tue Mar 11 09:12:03 GMT 2025","Tue Mar 11 09:12:39 GMT 2025","36249","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Tue Mar 11 09:12:47 GMT 2025","Tue Mar 11 09:12:55 GMT 2025","7401","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
"passed","Tue Mar 11 09:11:54 GMT 2025","Tue Mar 11 09:12:03 GMT 2025","8485","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Tue Mar 11 09:11:13 GMT 2025","Tue Mar 11 09:11:14 GMT 2025","1045","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
"passed","Tue Mar 11 09:11:18 GMT 2025","Tue Mar 11 09:11:54 GMT 2025","35828","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"passed","Tue Mar 11 09:12:55 GMT 2025","Tue Mar 11 09:13:00 GMT 2025","5048","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
