"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 03 11:43:40 GMT 2025","Mon Mar 03 11:43:53 GMT 2025","12799","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Mon Mar 03 11:44:55 GMT 2025","Mon Mar 03 11:45:00 GMT 2025","5934","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"passed","Mon Mar 03 11:44:42 GMT 2025","Mon Mar 03 11:44:49 GMT 2025","7255","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
"passed","Mon Mar 03 11:44:49 GMT 2025","Mon Mar 03 11:44:55 GMT 2025","5365","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Mon Mar 03 11:42:02 GMT 2025","Mon Mar 03 11:42:49 GMT 2025","47239","","com.jetbrains.teamcity.ui.SetupServerTest","","com.jetbrains.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest()",""
"passed","Mon Mar 03 11:43:53 GMT 2025","Mon Mar 03 11:44:04 GMT 2025","11572","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Mon Mar 03 11:42:55 GMT 2025","Mon Mar 03 11:43:40 GMT 2025","44548","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"broken","Mon Mar 03 11:44:04 GMT 2025","Mon Mar 03 11:44:42 GMT 2025","37620","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
