"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 11 10:57:27 GMT 2025","Tue Mar 11 10:57:28 GMT 2025","772","","com.jetbrains.teamcity.api.SetUpAgentTest","","com.jetbrains.teamcity.api.SetUpAgentTest","authorizeDefaultAgent","authorizeDefaultAgent()",""
"passed","Tue Mar 11 10:58:26 GMT 2025","Tue Mar 11 10:58:33 GMT 2025","6550","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a name","a user should not be able to create a build type without a name()",""
"passed","Tue Mar 11 10:58:49 GMT 2025","Tue Mar 11 10:58:55 GMT 2025","5203","","com.jetbrains.teamcity.ui.FindProjectByNameTest","","com.jetbrains.teamcity.ui.FindProjectByNameTest","a user should be able to find a project by name","a user should be able to find a project by name()",""
"passed","Tue Mar 11 10:58:33 GMT 2025","Tue Mar 11 10:58:43 GMT 2025","10174","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should be able to create a project","a user should be able to create a project()",""
"passed","Tue Mar 11 10:57:32 GMT 2025","Tue Mar 11 10:58:17 GMT 2025","44740","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should be able to create a build type","a user should be able to create a build type()",""
"failed","Tue Mar 11 10:58:55 GMT 2025","Tue Mar 11 10:59:12 GMT 2025","17825","","com.jetbrains.teamcity.ui.StartBuildTest","","com.jetbrains.teamcity.ui.StartBuildTest","a user should be able to start a successful build","a user should be able to start a successful build()",""
"passed","Tue Mar 11 10:58:17 GMT 2025","Tue Mar 11 10:58:26 GMT 2025","8833","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","","com.jetbrains.teamcity.ui.CreateBuildTypeTest","a user should not be able to create a build type without a branch","a user should not be able to create a build type without a branch()",""
"passed","Tue Mar 11 10:58:43 GMT 2025","Tue Mar 11 10:58:49 GMT 2025","6367","","com.jetbrains.teamcity.ui.CreateProjectTest","","com.jetbrains.teamcity.ui.CreateProjectTest","a user should not be able to create a project without a name","a user should not be able to create a project without a name()",""
